date,headline,description,content,url,source,published_at,sentiment,sentiment_score,positive_confidence,negative_confidence,neutral_confidence,stock_movement,volume,price_change,market_cap,company,query
2025-07-27,Oracle posts better-than-expected earnings,Oracle posts better-than-expected earnings according to Financial Times analysis.,Oracle posts better-than-expected earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://financialtimes.com/article/69735,Financial Times,2025-07-27T13:23:50Z,positive,0.829597545259111,0.8191340061149652,0.10283272808670214,0.0780332657983326,flat,30210711,-0.04988741665829345,286590769025.9596,Microsoft Corporation,AMZN
2025-05-31,Microsoft releases quarterly earnings report,Microsoft releases quarterly earnings report according to Zacks analysis.,Microsoft releases quarterly earnings report. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://zacks.com/article/45773,Zacks,2025-05-31T13:23:50Z,neutral,0.40502135295603015,0.23813441628906362,0.2783968889136824,0.4834686947972539,flat,43860080,0.00743239807751675,800322082458.7957,Oracle Corporation,TSLA
2025-07-21,Verizon stock gains on strong wireless growth,Verizon stock gains on strong wireless growth according to Seeking Alpha analysis.,Verizon stock gains on strong wireless growth. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://seekingalpha.com/article/33483,Seeking Alpha,2025-07-21T13:23:50Z,positive,0.6639351238159993,0.8417059059592562,0.09049576226153269,0.06779833177921116,up,49900483,0.13266052670545583,1127013147473.233,Microsoft Corporation,META
2025-05-28,Goldman Sachs misses earnings expectations,Goldman Sachs misses earnings expectations according to Bloomberg analysis.,Goldman Sachs misses earnings expectations. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://bloomberg.com/article/75697,Bloomberg,2025-05-28T13:23:50Z,negative,0.3227961206236346,0.10046453508499727,0.7886190685309545,0.11091639638404814,down,20082629,-0.08761750113954335,1135832955312.1628,NVIDIA Corporation,MSFT
2025-06-07,Adobe releases software update,Adobe releases software update according to Barron's analysis.,Adobe releases software update. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://barron's.com/article/48044,Barron's,2025-06-07T13:23:50Z,neutral,0.4479622306417506,0.24038500771644616,0.232791338812428,0.526823653471126,up,4366612,-0.0333968130931554,543426714516.01794,Salesforce Inc.,META
2025-07-25,Bank of America reports strong quarterly results,Bank of America reports strong quarterly results according to Seeking Alpha analysis.,Bank of America reports strong quarterly results. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://seekingalpha.com/article/74505,Seeking Alpha,2025-07-25T13:23:50Z,positive,0.768464455452671,0.8283419919214265,0.06358535985648825,0.10807264822208534,up,36291527,0.06870215041229619,1542769423025.2056,Bank of America,AAPL
2025-06-25,JPMorgan Chase announces restructuring,JPMorgan Chase announces restructuring according to Reuters analysis.,JPMorgan Chase announces restructuring. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://reuters.com/article/18110,Reuters,2025-06-25T13:23:50Z,neutral,0.44926940745579474,0.21873494559803092,0.2696209820019162,0.5116440724000528,up,47626914,0.02738933631231813,550168864187.1382,Tesla Inc.,NFLX
2025-06-08,Google parent Alphabet holds annual meeting,Google parent Alphabet holds annual meeting according to TheStreet analysis.,Google parent Alphabet holds annual meeting. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://thestreet.com/article/28141,TheStreet,2025-06-08T13:23:50Z,neutral,0.5812901539863683,0.2640222432409539,0.2691367804594919,0.46684097629955423,flat,43065449,-0.018199049440268955,404236685468.457,Amazon.com Inc.,GOOGL
2025-06-03,Salesforce beats revenue expectations,Salesforce beats revenue expectations according to Yahoo Finance analysis.,Salesforce beats revenue expectations. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://yahoofinance.com/article/79163,Yahoo Finance,2025-06-03T13:23:50Z,positive,0.7109183674204308,0.7110711330054582,0.13673887482635064,0.15218999216819115,up,24484187,0.1289092957027719,1616432638749.2695,Netflix Inc.,AMZN
2025-07-27,Meta Platforms updates privacy policy,Meta Platforms updates privacy policy according to Wall Street Journal analysis.,Meta Platforms updates privacy policy. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://wallstreetjournal.com/article/31959,Wall Street Journal,2025-07-27T13:23:50Z,neutral,0.38662638641020197,0.2391500964756436,0.33622276240204957,0.4246271411223069,flat,31344474,-0.021867663412123095,1636211517079.0637,Netflix Inc.,TSLA
2025-06-02,Google parent Alphabet reports lower than expected earnings,Google parent Alphabet reports lower than expected earnings according to MarketWatch analysis.,Google parent Alphabet reports lower than expected earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://marketwatch.com/article/62733,MarketWatch,2025-06-02T13:23:50Z,negative,0.13082370013955644,0.1172211796871484,0.7715740912725105,0.11120472904034108,down,49219607,0.060905687668553365,727895575156.2086,NVIDIA Corporation,META
2025-07-11,AMD stock falls on supply chain issues,AMD stock falls on supply chain issues according to Zacks analysis.,AMD stock falls on supply chain issues. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://zacks.com/article/97092,Zacks,2025-07-11T13:23:50Z,negative,0.34932214551468255,0.09158333930395494,0.7912684385073959,0.11714822218864916,down,8734102,-0.06640606072901657,1816623506047.3408,Microsoft Corporation,AMZN
2025-05-05,"Netflix loses subscribers, stock crashes 25%","Netflix loses subscribers, stock crashes 25% according to Motley Fool analysis.","Netflix loses subscribers, stock crashes 25%. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://motleyfool.com/article/32671,Motley Fool,2025-05-05T13:23:50Z,negative,0.25164066422176357,0.1892189132880926,0.6278101046942879,0.18297098201761958,down,37112663,-0.008909809666188484,1966862858648.791,Intel Corporation,AAPL
2025-06-27,Netflix subscriber growth exceeds expectations,Netflix subscriber growth exceeds expectations according to Barron's analysis.,Netflix subscriber growth exceeds expectations. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://barron's.com/article/21111,Barron's,2025-06-27T13:23:50Z,positive,0.9075076414441159,0.7090864049748438,0.09557105907134608,0.19534253595381015,up,34267858,-0.04540020381248118,193256925631.7501,Bank of America,AAPL
2025-07-29,Cisco reports weak quarterly results,Cisco reports weak quarterly results according to Zacks analysis.,Cisco reports weak quarterly results. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://zacks.com/article/30932,Zacks,2025-07-29T13:23:50Z,negative,0.31320180601429426,0.09127203217154078,0.716958808389587,0.19176915943887213,flat,36759096,0.004990767381304273,522397520485.9876,NVIDIA Corporation,GOOGL
2025-06-24,JPMorgan Chase announces restructuring,JPMorgan Chase announces restructuring according to Financial Times analysis.,JPMorgan Chase announces restructuring. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://financialtimes.com/article/71267,Financial Times,2025-06-24T13:23:50Z,neutral,0.5601073489918313,0.2926679880159125,0.2941994517470143,0.4131325602370732,flat,7041495,0.1052785346302538,1871334353447.674,Goldman Sachs Group,NFLX
2025-06-27,"Tesla beats quarterly expectations, stock rallies 15%","Tesla beats quarterly expectations, stock rallies 15% according to Zacks analysis.","Tesla beats quarterly expectations, stock rallies 15%. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://zacks.com/article/13987,Zacks,2025-06-27T13:23:50Z,positive,0.7351762924212397,0.7068656244869415,0.1503681867764488,0.14276618873660982,flat,44303868,-0.08271920716183206,1424646263473.724,Intel Corporation,NVDA
2025-06-09,Bank of America reports losses in trading division,Bank of America reports losses in trading division according to Financial Times analysis.,Bank of America reports losses in trading division. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://financialtimes.com/article/29738,Financial Times,2025-06-09T13:23:50Z,negative,0.14241823755571675,0.14563148593129552,0.6915024143561216,0.16286609971258278,flat,2983509,-0.07680310698627492,1946048098950.1387,Goldman Sachs Group,TSLA
2025-06-16,Apple stock plummets after disappointing earnings,Apple stock plummets after disappointing earnings according to Benzinga analysis.,Apple stock plummets after disappointing earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://benzinga.com/article/46212,Benzinga,2025-06-16T13:23:50Z,negative,0.19775530814565917,0.08799801524786996,0.8070999071827379,0.10490207756939217,down,38327394,0.08056620429189268,88163939737.11307,Adobe Inc.,NFLX
2025-05-24,JPMorgan Chase posts record profits,JPMorgan Chase posts record profits according to Bloomberg analysis.,JPMorgan Chase posts record profits. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://bloomberg.com/article/33093,Bloomberg,2025-05-24T13:23:50Z,positive,0.7492250914011541,0.6510194162097178,0.13980353856518202,0.2091770452251001,flat,38890300,-0.034470681419422416,1702422206362.197,Walmart Inc.,MSFT
2025-07-21,Adobe releases software update,Adobe releases software update according to Motley Fool analysis.,Adobe releases software update. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://motleyfool.com/article/64748,Motley Fool,2025-07-21T13:23:50Z,neutral,0.5345021680097509,0.3368614927710764,0.1929849301499539,0.4701535770789696,flat,11192257,-0.05323477072841984,1697490920054.424,Intel Corporation,MSFT
2025-07-14,Tesla announces new factory location,Tesla announces new factory location according to Zacks analysis.,Tesla announces new factory location. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://zacks.com/article/97922,Zacks,2025-07-14T13:23:50Z,neutral,0.5334541132597042,0.21508764576335251,0.19989275978815846,0.585019594448489,flat,30093907,0.04498917923332954,1404231787638.149,NVIDIA Corporation,META
2025-06-11,"Microsoft reports record profits, shares jump 8%","Microsoft reports record profits, shares jump 8% according to MarketWatch analysis.","Microsoft reports record profits, shares jump 8%. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://marketwatch.com/article/63006,MarketWatch,2025-06-11T13:23:50Z,positive,0.8234840422988522,0.6694013462416889,0.15685522550448514,0.17374342825382602,up,23725756,0.10168005062080901,1720948832005.0388,Walmart Inc.,NFLX
2025-06-05,Google parent Alphabet reports lower than expected earnings,Google parent Alphabet reports lower than expected earnings according to Barron's analysis.,Google parent Alphabet reports lower than expected earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://barron's.com/article/27019,Barron's,2025-06-05T13:23:50Z,negative,0.28099806592958326,0.09836777821569305,0.830816644310348,0.07081557747395895,down,21644716,-0.09168598980153808,823296456208.3004,Verizon Communications,MSFT
2025-07-29,"AMD beats earnings estimates, stock rallies","AMD beats earnings estimates, stock rallies according to Seeking Alpha analysis.","AMD beats earnings estimates, stock rallies. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://seekingalpha.com/article/56175,Seeking Alpha,2025-07-29T13:23:50Z,positive,0.7800562212742226,0.8148591556970688,0.09915559863885604,0.08598524566407523,up,12802429,0.10079403615366175,1392252437981.3022,Apple Inc.,NFLX
2025-07-14,Goldman Sachs beats earnings estimates,Goldman Sachs beats earnings estimates according to CNBC analysis.,Goldman Sachs beats earnings estimates. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://cnbc.com/article/82789,CNBC,2025-07-14T13:23:50Z,positive,0.8414811781530052,0.7032721530590109,0.16899036721283703,0.1277374797281521,flat,49487260,-0.024119981271663038,496214248012.8138,Alphabet Inc.,AAPL
2025-07-07,Google parent Alphabet reports stellar earnings,Google parent Alphabet reports stellar earnings according to Seeking Alpha analysis.,Google parent Alphabet reports stellar earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://seekingalpha.com/article/89605,Seeking Alpha,2025-07-07T13:23:50Z,positive,0.7434239928173882,0.8658419314137583,0.08240028663144257,0.051757781954799104,up,32099311,0.09207389311523384,693262337857.7122,Walmart Inc.,GOOGL
2025-07-28,Verizon expands 5G network,Verizon expands 5G network according to Reuters analysis.,Verizon expands 5G network. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://reuters.com/article/28071,Reuters,2025-07-28T13:23:50Z,neutral,0.5377579747142709,0.2368013895190955,0.2924680789995437,0.47073053148136085,flat,29709379,0.03475534931697416,1887839317516.9536,Verizon Communications,AMZN
2025-06-14,Apple stock surges to new record high after strong earnings,Apple stock surges to new record high after strong earnings according to Bloomberg analysis.,Apple stock surges to new record high after strong earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://bloomberg.com/article/37350,Bloomberg,2025-06-14T13:23:50Z,positive,0.8136850367947804,0.7048812156880957,0.10162211228853972,0.1934966720233647,up,16287338,-0.09126265956321106,139653240449.45575,IBM Corporation,AAPL
2025-05-02,Walmart stock falls on poor quarterly results,Walmart stock falls on poor quarterly results according to Yahoo Finance analysis.,Walmart stock falls on poor quarterly results. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://yahoofinance.com/article/54425,Yahoo Finance,2025-05-02T13:23:50Z,negative,0.2943405447766807,0.11423392304414791,0.682422033391853,0.20334404356399902,down,17934380,0.13099444555671216,79333467024.61687,Amazon.com Inc.,GOOGL
2025-06-05,"Tesla faces regulatory scrutiny, stock drops 10%","Tesla faces regulatory scrutiny, stock drops 10% according to TheStreet analysis.","Tesla faces regulatory scrutiny, stock drops 10%. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://thestreet.com/article/31352,TheStreet,2025-06-05T13:23:50Z,negative,0.17378530307342793,0.11567176246553086,0.7744611961528008,0.10986704138166827,flat,39149309,0.018560007643132093,477955122720.89,Tesla Inc.,NFLX
2025-05-13,Verizon expands 5G network,Verizon expands 5G network according to MarketWatch analysis.,Verizon expands 5G network. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://marketwatch.com/article/70921,MarketWatch,2025-05-13T13:23:50Z,neutral,0.4460148803091835,0.3575796802562398,0.2620649985319815,0.38035532121177873,down,15573458,-0.12261399696415992,639307961543.2394,IBM Corporation,META
2025-06-02,Google parent Alphabet reports stellar earnings,Google parent Alphabet reports stellar earnings according to Wall Street Journal analysis.,Google parent Alphabet reports stellar earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://wallstreetjournal.com/article/19348,Wall Street Journal,2025-06-02T13:23:50Z,positive,0.7485993636109748,0.6623088839925866,0.16560697754955048,0.1720841384578628,up,36940920,-0.1159606193947656,1861927282268.898,Adobe Inc.,TSLA
2025-06-18,Meta Platforms updates privacy policy,Meta Platforms updates privacy policy according to Investor's Business Daily analysis.,Meta Platforms updates privacy policy. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://investor'sbusinessdaily.com/article/98858,Investor's Business Daily,2025-06-18T13:23:50Z,neutral,0.6405955831922405,0.24731964402808032,0.2691405062293416,0.4835398497425781,up,45477669,-0.12476795816550076,1402237293786.7808,Cisco Systems,MSFT
2025-05-21,Google parent Alphabet reports stellar earnings,Google parent Alphabet reports stellar earnings according to Benzinga analysis.,Google parent Alphabet reports stellar earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://benzinga.com/article/82124,Benzinga,2025-05-21T13:23:50Z,positive,0.8243916251680347,0.7264694283943319,0.1912055491994668,0.08232502240620136,up,7200646,0.14580031914686128,1507002992332.6243,IBM Corporation,AMZN
2025-06-21,Walmart stock falls on poor quarterly results,Walmart stock falls on poor quarterly results according to Reuters analysis.,Walmart stock falls on poor quarterly results. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://reuters.com/article/90219,Reuters,2025-06-21T13:23:50Z,negative,0.08335924469184541,0.16582685743869324,0.673697506687726,0.16047563587358063,flat,41494137,0.07229215827320049,1534622511364.035,Tesla Inc.,NFLX
2025-05-06,AMD stock falls on supply chain issues,AMD stock falls on supply chain issues according to Motley Fool analysis.,AMD stock falls on supply chain issues. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://motleyfool.com/article/40354,Motley Fool,2025-05-06T13:23:50Z,negative,0.20851103638916274,0.11219403499151637,0.6870833387777493,0.20072262623073445,down,40213228,-0.13705202641482717,1782395084282.444,Alphabet Inc.,AMZN
2025-05-17,Oracle posts better-than-expected earnings,Oracle posts better-than-expected earnings according to Barron's analysis.,Oracle posts better-than-expected earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://barron's.com/article/33959,Barron's,2025-05-17T13:23:50Z,positive,0.8587246066953851,0.682615370969455,0.1627010558734873,0.15468357315705783,up,46238927,0.07113021175290576,1830593428996.5437,Netflix Inc.,AMZN
2025-05-18,"Amazon revenue soars, stock hits all-time high","Amazon revenue soars, stock hits all-time high according to Reuters analysis.","Amazon revenue soars, stock hits all-time high. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://reuters.com/article/45547,Reuters,2025-05-18T13:23:50Z,positive,0.7560056684078158,0.7140309617687225,0.06038282390179497,0.22558621432948261,up,8884479,-0.0140277459513507,65599586268.19128,Verizon Communications,NVDA
2025-07-25,Adobe reports strong subscription growth,Adobe reports strong subscription growth according to Wall Street Journal analysis.,Adobe reports strong subscription growth. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://wallstreetjournal.com/article/71813,Wall Street Journal,2025-07-25T13:23:50Z,positive,0.932159548140615,0.6444029705638102,0.1477544223785883,0.20784260705760166,up,20857417,0.12981854500620396,1732261715111.3164,Apple Inc.,AAPL
2025-07-29,Oracle misses revenue expectations,Oracle misses revenue expectations according to Yahoo Finance analysis.,Oracle misses revenue expectations. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://yahoofinance.com/article/57926,Yahoo Finance,2025-07-29T13:23:50Z,negative,0.22823921460564056,0.10212090815340408,0.7211002162773722,0.17677887556922367,down,44824588,-0.1309464511229996,74606913404.34677,Intel Corporation,NFLX
2025-05-18,Google parent Alphabet reports lower than expected earnings,Google parent Alphabet reports lower than expected earnings according to Zacks analysis.,Google parent Alphabet reports lower than expected earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://zacks.com/article/55106,Zacks,2025-05-18T13:23:50Z,negative,0.3489910511221716,0.13088621675275097,0.6749590644767145,0.19415471877053464,flat,26329097,-0.03664483521726407,482928579826.9341,Apple Inc.,GOOGL
2025-06-10,Apple stock plummets after disappointing earnings,Apple stock plummets after disappointing earnings according to Benzinga analysis.,Apple stock plummets after disappointing earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://benzinga.com/article/83963,Benzinga,2025-06-10T13:23:50Z,negative,0.23543847213736874,0.12939433246244864,0.6745292805391352,0.19607638699841623,down,21112033,-0.007136790963295753,1662911608634.94,Apple Inc.,GOOGL
2025-06-22,"AMD beats earnings estimates, stock rallies","AMD beats earnings estimates, stock rallies according to Bloomberg analysis.","AMD beats earnings estimates, stock rallies. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://bloomberg.com/article/83553,Bloomberg,2025-06-22T13:23:50Z,positive,0.6586348028940017,0.6937451463684483,0.1460962972222711,0.16015855640928067,up,43258866,0.12094531760298785,1234910160482.4868,Microsoft Corporation,NFLX
2025-07-26,IBM stock declines on cloud competition,IBM stock declines on cloud competition according to Seeking Alpha analysis.,IBM stock declines on cloud competition. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://seekingalpha.com/article/97369,Seeking Alpha,2025-07-26T13:23:50Z,negative,0.1544766401069901,0.13676832735054706,0.7474884901144483,0.11574318253500468,flat,35262121,0.10870911262402352,1899091726691.6267,Advanced Micro Devices,AAPL
